Subject,Condition,TweetID,TweetAccuracy,TweetEngage,TEndTime,TPageTime,TPAccuracy,TPEngage,TPEndTime,TPPageTime,FakeRate,FEndTime,FPageTime,Covid_Freq,Political_View,Twitter_Exp,Tweet_Freq,Trust_Tweet,Covid_Vacc,Photoshop,Age,Gender,Education
103,1,2,Somewhat Inaccurate (2),No Engagement,3.832,5.281,Very Inaccurate (1),No Engagement,4.285,5.671,I'm not sure (3),0.903,2.336,Once a month,Slightly Liberal,"Yes, but I just joined",A few times,3,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Male,Some college but no degree
103,2,3,Very Inaccurate (1),No Engagement,8.699,10.867,Very Inaccurate (1),No Engagement,3.244,4.842,More real than fake (4),0,3.253,Once a month,Slightly Liberal,"Yes, but I just joined",A few times,3,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Male,Some college but no degree
103,3,1,Somewhat Accurate (4),No Engagement,10.969,12.91,Very Inaccurate (1),No Engagement,16.332,18.666,More real than fake (4),0,3.936,Once a month,Slightly Liberal,"Yes, but I just joined",A few times,3,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Male,Some college but no degree
104,1,1,Somewhat Inaccurate (2),No Engagement,3.108,5.391,Very Inaccurate (1),No Engagement,4.255,17.325,More fake than real (2),0,1.028,Once a week,Slightly Liberal,"Yes, somewhat experienced",A few times,Neutral 5,"Yes, fully vaccinated","Yes, but I just started using it",18-29,Male,Bachelor degree
104,2,3,Neither Accurate nor Inaccurate (3),No Engagement,3.416,4.541,Neither Accurate nor Inaccurate (3),No Engagement,2.893,3.952,More fake than real (2),0,2.346,Once a week,Slightly Liberal,"Yes, somewhat experienced",A few times,Neutral 5,"Yes, fully vaccinated","Yes, but I just started using it",18-29,Male,Bachelor degree
104,3,2,Somewhat Accurate (4),Like,2.175,3.466,Neither Accurate nor Inaccurate (3),No Engagement,2.279,4.04,More fake than real (2),0,1.466,Once a week,Slightly Liberal,"Yes, somewhat experienced",A few times,Neutral 5,"Yes, fully vaccinated","Yes, but I just started using it",18-29,Male,Bachelor degree
105,1,3,Somewhat Accurate (4),No Engagement,15.56,16.328,Somewhat Accurate (4),No Engagement,14.079,14.76,I'm not sure (3),11.523,12.936,More than once a week,Slightly Liberal,"Yes, but I just joined",I did not tweet or retweet in the past 3 months,Untrustworthy 1,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Female,Associate degree
105,2,1,Neither Accurate nor Inaccurate (3),External Share,5.518,7.015,Neither Accurate nor Inaccurate (3),No Engagement,12.702,14.363,I'm not sure (3),9.433,9.978,More than once a week,Slightly Liberal,"Yes, but I just joined",I did not tweet or retweet in the past 3 months,Untrustworthy 1,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Female,Associate degree
105,3,2,Neither Accurate nor Inaccurate (3),No Engagement,8.102,8.748,Somewhat Inaccurate (2),No Engagement,9.279,9.831,Definitely fake (1),4.247,5.344,More than once a week,Slightly Liberal,"Yes, but I just joined",I did not tweet or retweet in the past 3 months,Untrustworthy 1,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Female,Associate degree
106,1,2,Somewhat Inaccurate (2),No Engagement,4.084,6.352,Very Inaccurate (1),No Engagement,3.146,4.521,More fake than real (2),0,1.113,Once or twice a week,Very Liberal,"Yes, very experienced",More than once a week,7,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Non-binary / third gender,Some college but no degree
106,2,3,Somewhat Inaccurate (2),No Engagement,1.077,1.948,Very Inaccurate (1),No Engagement,2.029,3.282,I'm not sure (3),1.661,2.913,Once or twice a week,Very Liberal,"Yes, very experienced",More than once a week,7,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Non-binary / third gender,Some college but no degree
106,3,1,Very Inaccurate (1),No Engagement,1.885,4.633,Very Inaccurate (1),No Engagement,2.399,3.468,Definitely fake (1),0,2.558,Once or twice a week,Very Liberal,"Yes, very experienced",More than once a week,7,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Non-binary / third gender,Some college but no degree
107,1,3,Somewhat Accurate (4),No Engagement,2.934,4.376,Somewhat Accurate (4),External Share,7.1,7.895,More fake than real (2),0,1.646,More than once a week,Slightly Liberal,"Yes, somewhat experienced",More than once a week,7,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Female,Graduate degree
107,2,1,Very Accurate (5),Like,4.616,5.444,Somewhat Accurate (4),External Share,1.334,2.728,More real than fake (4),0,1.092,More than once a week,Slightly Liberal,"Yes, somewhat experienced",More than once a week,7,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Female,Graduate degree
107,3,2,Somewhat Accurate (4),No Engagement,2.958,5.224,Somewhat Accurate (4),No Engagement,3.533,4.661,Definitely fake (1),0,1.445,More than once a week,Slightly Liberal,"Yes, somewhat experienced",More than once a week,7,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Female,Graduate degree
108,1,3,Very Inaccurate (1),No Engagement,0.835,1.945,Neither Accurate nor Inaccurate (3),No Engagement,2.394,3.751,More fake than real (2),0.948,1.407,Once a week,Slightly Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,6,"Yes, fully vaccinated","No, I've never used it",18-29,Male,Some college but no degree
108,2,2,Somewhat Accurate (4),No Engagement,13.6,18.174,Very Accurate (5),Like,7.409,8.613,Definitely real (5),0.4,1.361,Once a week,Slightly Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,6,"Yes, fully vaccinated","No, I've never used it",18-29,Male,Some college but no degree
108,3,1,Neither Accurate nor Inaccurate (3),No Engagement,1.698,2.768,Very Inaccurate (1),No Engagement,3.103,4.561,Definitely fake (1),1.05,1.407,Once a week,Slightly Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,6,"Yes, fully vaccinated","No, I've never used it",18-29,Male,Some college but no degree
109,1,3,Somewhat Accurate (4),No Engagement,4.209,4.573,Very Accurate (5),No Engagement,3.898,4.343,Definitely real (5),5.549,5.932,A few times,Prefer not to say,Prefer not to say,A few times,3,Prefer not to say,"No, I've never used it",18-29,Female,"High school degree or equivalent (e.g., GED)"
109,2,1,Neither Accurate nor Inaccurate (3),No Engagement,26.79,29.411,Somewhat Accurate (4),No Engagement,9.872,10.626,I'm not sure (3),25.752,26.259,A few times,Prefer not to say,Prefer not to say,A few times,3,Prefer not to say,"No, I've never used it",18-29,Female,"High school degree or equivalent (e.g., GED)"
109,3,2,Somewhat Accurate (4),No Engagement,4.968,5.709,Neither Accurate nor Inaccurate (3),No Engagement,2.381,2.84,More fake than real (2),0.892,1.639,A few times,Prefer not to say,Prefer not to say,A few times,3,Prefer not to say,"No, I've never used it",18-29,Female,"High school degree or equivalent (e.g., GED)"
110,1,2,Somewhat Inaccurate (2),No Engagement,9.995,11.42,Somewhat Accurate (4),Like,5.293,6.547,Definitely fake (1),3.671,5.18,More than once a week,Very Liberal,"Yes, very experienced",Once or twice a week,8,"Yes, fully vaccinated","Yes, very experienced",30-39,Non-binary / third gender,Graduate degree
110,2,3,Very Inaccurate (1),No Engagement,6.928,8.32,Very Inaccurate (1),No Engagement,5.093,6.316,Definitely fake (1),1.687,3.276,More than once a week,Very Liberal,"Yes, very experienced",Once or twice a week,8,"Yes, fully vaccinated","Yes, very experienced",30-39,Non-binary / third gender,Graduate degree
110,3,1,Very Accurate (5),Like,10.013,10.39,Somewhat Inaccurate (2),No Engagement,7.577,8.764,More fake than real (2),1.988,3.377,More than once a week,Very Liberal,"Yes, very experienced",Once or twice a week,8,"Yes, fully vaccinated","Yes, very experienced",30-39,Non-binary / third gender,Graduate degree
111,1,1,Somewhat Accurate (4),External Share,3.251,4.28,Somewhat Accurate (4),External Share,2.562,3.668,More fake than real (2),0.748,1.555,Once a week,Slightly Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,6,"Yes, I have at least one round of the series","Yes, somewhat experienced",30-39,Female,Graduate degree
111,2,3,Somewhat Inaccurate (2),No Engagement,4.779,5.737,Somewhat Inaccurate (2),No Engagement,4.398,5.259,More real than fake (4),0.744,1.741,Once a week,Slightly Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,6,"Yes, I have at least one round of the series","Yes, somewhat experienced",30-39,Female,Graduate degree
111,3,2,Somewhat Accurate (4),Like,6.205,6.753,Somewhat Accurate (4),No Engagement,3.168,4.296,Definitely real (5),3.797,4.49,Once a week,Slightly Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,6,"Yes, I have at least one round of the series","Yes, somewhat experienced",30-39,Female,Graduate degree
112,1,3,Very Inaccurate (1),No Engagement,3.097,4.622,Very Inaccurate (1),No Engagement,1.177,2.031,I'm not sure (3),0,0.956,I did not read or listen to news concerning COVID-19 in the past 12 months,Slightly Conservative,"Yes, somewhat experienced",A few times,4,"Yes, fully vaccinated","Yes, somewhat experienced",40-49,Female,Some college but no degree
112,2,2,Somewhat Accurate (4),Reply,5.65,6.549,Neither Accurate nor Inaccurate (3),No Engagement,3.005,3.937,I'm not sure (3),0,0.82,I did not read or listen to news concerning COVID-19 in the past 12 months,Slightly Conservative,"Yes, somewhat experienced",A few times,4,"Yes, fully vaccinated","Yes, somewhat experienced",40-49,Female,Some college but no degree
112,3,1,Neither Accurate nor Inaccurate (3),No Engagement,5.705,6.877,Very Inaccurate (1),No Engagement,118.48,119.23,Definitely fake (1),0.896,1.867,I did not read or listen to news concerning COVID-19 in the past 12 months,Slightly Conservative,"Yes, somewhat experienced",A few times,4,"Yes, fully vaccinated","Yes, somewhat experienced",40-49,Female,Some college but no degree
113,1,1,Neither Accurate nor Inaccurate (3),No Engagement,7.271,7.722,Neither Accurate nor Inaccurate (3),No Engagement,10.874,11.592,More real than fake (4),3.392,4.002,I did not read or listen to news concerning COVID-19 in the past 12 months,Very Conservative,"No, I've never used it",I did not tweet or retweet in the past 3 months,Untrustworthy 1,"No, I am not vaccinated","Yes, somewhat experienced",30-39,Female,Some college but no degree
113,2,2,Very Inaccurate (1),No Engagement,11.142,11.803,Very Inaccurate (1),No Engagement,8.217,9.11,More fake than real (2),30.272,31.146,I did not read or listen to news concerning COVID-19 in the past 12 months,Very Conservative,"No, I've never used it",I did not tweet or retweet in the past 3 months,Untrustworthy 1,"No, I am not vaccinated","Yes, somewhat experienced",30-39,Female,Some college but no degree
113,3,3,Neither Accurate nor Inaccurate (3),No Engagement,19.977,20.652,Neither Accurate nor Inaccurate (3),No Engagement,255.387,256.068,More real than fake (4),4.828,5.528,I did not read or listen to news concerning COVID-19 in the past 12 months,Very Conservative,"No, I've never used it",I did not tweet or retweet in the past 3 months,Untrustworthy 1,"No, I am not vaccinated","Yes, somewhat experienced",30-39,Female,Some college but no degree
114,1,1,Somewhat Inaccurate (2),No Engagement,8.234,8.869,Very Inaccurate (1),No Engagement,6.542,7.259,More real than fake (4),3.009,4.232,Once a month,Slightly Liberal,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,7,"Yes, fully vaccinated","No, I've never used it",18-29,Male,Bachelor degree
114,2,2,Somewhat Inaccurate (2),No Engagement,21.311,22.283,Somewhat Accurate (4),No Engagement,16.012,16.77,More real than fake (4),17.632,18.441,Once a month,Slightly Liberal,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,7,"Yes, fully vaccinated","No, I've never used it",18-29,Male,Bachelor degree
114,3,3,Very Inaccurate (1),No Engagement,8.826,9.771,Very Inaccurate (1),No Engagement,18.982,20.215,More real than fake (4),13.652,15.172,Once a month,Slightly Liberal,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,7,"Yes, fully vaccinated","No, I've never used it",18-29,Male,Bachelor degree
115,1,1,Neither Accurate nor Inaccurate (3),No Engagement,3.73,4.661,Somewhat Accurate (4),No Engagement,1.92,3.05,More fake than real (2),0,4.629,More than once a week,Very Liberal,"Yes, very experienced",Once a month,Neutral 5,"Yes, fully vaccinated","Yes, but I just started using it",30-39,Female,Graduate degree
115,2,3,Very Inaccurate (1),No Engagement,2.044,3.259,Very Inaccurate (1),No Engagement,1.486,2.421,Definitely real (5),0,0.521,More than once a week,Very Liberal,"Yes, very experienced",Once a month,Neutral 5,"Yes, fully vaccinated","Yes, but I just started using it",30-39,Female,Graduate degree
115,3,2,Very Accurate (5),No Engagement,4.539,6.237,Somewhat Inaccurate (2),No Engagement,2.138,4.066,I'm not sure (3),0,0.843,More than once a week,Very Liberal,"Yes, very experienced",Once a month,Neutral 5,"Yes, fully vaccinated","Yes, but I just started using it",30-39,Female,Graduate degree
116,1,3,Very Inaccurate (1),No Engagement,8.766,10.004,Very Inaccurate (1),No Engagement,1.867,3.823,Definitely fake (1),0.551,1.407,More than once a week,Slightly Liberal,"Yes, somewhat experienced",A few times,Untrustworthy 1,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Male,Graduate degree
116,2,1,Neither Accurate nor Inaccurate (3),No Engagement,1.966,3.404,Neither Accurate nor Inaccurate (3),No Engagement,3.051,3.972,I'm not sure (3),0,1.021,More than once a week,Slightly Liberal,"Yes, somewhat experienced",A few times,Untrustworthy 1,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Male,Graduate degree
116,3,2,Somewhat Accurate (4),No Engagement,1.867,2.706,Somewhat Accurate (4),No Engagement,2.217,3.722,More fake than real (2),0,0.871,More than once a week,Slightly Liberal,"Yes, somewhat experienced",A few times,Untrustworthy 1,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Male,Graduate degree
117,1,1,Somewhat Accurate (4),No Engagement,8.782,9.404,Somewhat Accurate (4),No Engagement,12.489,13.113,More real than fake (4),4.851,5.493,More than once a week,Very Liberal,"Yes, somewhat experienced",A few times,Neutral 5,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Female,Some college but no degree
117,2,3,Very Inaccurate (1),No Engagement,6.415,7.516,Very Inaccurate (1),No Engagement,5.298,7.9,More real than fake (4),1.659,2.323,More than once a week,Very Liberal,"Yes, somewhat experienced",A few times,Neutral 5,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Female,Some college but no degree
117,3,2,Neither Accurate nor Inaccurate (3),No Engagement,8.541,9.125,Neither Accurate nor Inaccurate (3),No Engagement,4.554,5.223,More fake than real (2),6.97,7.712,More than once a week,Very Liberal,"Yes, somewhat experienced",A few times,Neutral 5,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Female,Some college but no degree
118,1,3,Very Inaccurate (1),No Engagement,13.176,13.945,Very Inaccurate (1),No Engagement,7.818,9.319,More fake than real (2),2.326,3.123,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",Once or twice a week,3,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Non-binary / third gender,"High school degree or equivalent (e.g., GED)"
118,2,1,Very Inaccurate (1),No Engagement,6.018,6.387,Very Inaccurate (1),No Engagement,3.035,3.658,More fake than real (2),6.441,7.32,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",Once or twice a week,3,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Non-binary / third gender,"High school degree or equivalent (e.g., GED)"
118,3,2,Very Inaccurate (1),No Engagement,12.873,13.729,Very Inaccurate (1),No Engagement,5.383,6.148,Definitely fake (1),2.771,3.578,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",Once or twice a week,3,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Non-binary / third gender,"High school degree or equivalent (e.g., GED)"
119,1,1,Somewhat Accurate (4),No Engagement,3.342,4.687,Somewhat Accurate (4),No Engagement,3.011,4.356,Definitely fake (1),8.577,10.172,Once a week,Slightly Liberal,"Yes, somewhat experienced",Once a month,Neutral 5,Prefer not to say,"Yes, somewhat experienced",18-29,Male,Some college but no degree
119,2,2,Somewhat Inaccurate (2),No Engagement,3.603,6.282,Neither Accurate nor Inaccurate (3),No Engagement,30.422,31.933,I'm not sure (3),0,1.46,Once a week,Slightly Liberal,"Yes, somewhat experienced",Once a month,Neutral 5,Prefer not to say,"Yes, somewhat experienced",18-29,Male,Some college but no degree
119,3,3,Somewhat Inaccurate (2),No Engagement,3.861,7.369,Somewhat Inaccurate (2),No Engagement,5.181,6.824,I'm not sure (3),6.448,7.221,Once a week,Slightly Liberal,"Yes, somewhat experienced",Once a month,Neutral 5,Prefer not to say,"Yes, somewhat experienced",18-29,Male,Some college but no degree
120,1,2,Somewhat Accurate (4),Like,14.672,15.677,Somewhat Accurate (4),No Engagement,18.919,19.574,More fake than real (2),7.268,8.392,A few times,Very Liberal,"Yes, very experienced",More than once a week,8,"Yes, fully vaccinated","Yes, but I just started using it",18-29,Female,"High school degree or equivalent (e.g., GED)"
120,2,1,Somewhat Inaccurate (2),No Engagement,19.921,20.558,Somewhat Inaccurate (2),No Engagement,10.403,11.271,More fake than real (2),11.454,12.36,A few times,Very Liberal,"Yes, very experienced",More than once a week,8,"Yes, fully vaccinated","Yes, but I just started using it",18-29,Female,"High school degree or equivalent (e.g., GED)"
120,3,3,Very Inaccurate (1),No Engagement,9.068,9.627,Very Inaccurate (1),No Engagement,11.969,12.786,More fake than real (2),2.001,3.367,A few times,Very Liberal,"Yes, very experienced",More than once a week,8,"Yes, fully vaccinated","Yes, but I just started using it",18-29,Female,"High school degree or equivalent (e.g., GED)"
121,1,2,Neither Accurate nor Inaccurate (3),No Engagement,14.217,16.51,Somewhat Accurate (4),Prefer not to say,9.119,10.076,More real than fake (4),1.12,2.483,Once a month,Prefer not to say,"Yes, but I just joined",I did not tweet or retweet in the past 3 months,Neutral 5,"Yes, I have at least one round of the series","Yes, somewhat experienced",30-39,Female,Bachelor degree
121,2,1,Somewhat Inaccurate (2),No Engagement,8.241,9.741,Neither Accurate nor Inaccurate (3),No Engagement,6.105,7.341,I'm not sure (3),0,6.797,Once a month,Prefer not to say,"Yes, but I just joined",I did not tweet or retweet in the past 3 months,Neutral 5,"Yes, I have at least one round of the series","Yes, somewhat experienced",30-39,Female,Bachelor degree
121,3,3,Somewhat Accurate (4),Like,70.008,76.256,Neither Accurate nor Inaccurate (3),No Engagement,33.132,34.704,More fake than real (2),0,1.156,Once a month,Prefer not to say,"Yes, but I just joined",I did not tweet or retweet in the past 3 months,Neutral 5,"Yes, I have at least one round of the series","Yes, somewhat experienced",30-39,Female,Bachelor degree
122,1,2,Very Accurate (5),Retweet,3.23,4.934,Very Accurate (5),Retweet,5.032,6.41,More real than fake (4),0.856,2.153,More than once a week,Slightly Liberal,"Yes, very experienced",More than once a week,7,"Yes, I have at least one round of the series","Yes, somewhat experienced",40-49,Female,Graduate degree
122,2,1,Very Inaccurate (1),No Engagement,2.695,6.007,Very Inaccurate (1),Reply,2.511,4.386,More real than fake (4),0,0.762,More than once a week,Slightly Liberal,"Yes, very experienced",More than once a week,7,"Yes, I have at least one round of the series","Yes, somewhat experienced",40-49,Female,Graduate degree
122,3,3,Very Accurate (5),Like,10.088,10.851,Somewhat Accurate (4),Like,3.888,5.195,More real than fake (4),0,1.346,More than once a week,Slightly Liberal,"Yes, very experienced",More than once a week,7,"Yes, I have at least one round of the series","Yes, somewhat experienced",40-49,Female,Graduate degree
123,1,2,Very Inaccurate (1),No Engagement,2.178,3.086,Very Inaccurate (1),No Engagement,5.916,6.578,More fake than real (2),0,1.244,Once a month,Very Liberal,"Yes, very experienced",A few times,Untrustworthy 1,"Yes, fully vaccinated","No, I've never used it",30-39,Male,"High school degree or equivalent (e.g., GED)"
123,2,1,Somewhat Inaccurate (2),No Engagement,3.954,4.907,Somewhat Inaccurate (2),No Engagement,1.963,3.284,More fake than real (2),0,0.906,Once a month,Very Liberal,"Yes, very experienced",A few times,Untrustworthy 1,"Yes, fully vaccinated","No, I've never used it",30-39,Male,"High school degree or equivalent (e.g., GED)"
123,3,3,Very Inaccurate (1),No Engagement,3.278,4.782,Very Inaccurate (1),No Engagement,2.121,3.008,More fake than real (2),0,0.983,Once a month,Very Liberal,"Yes, very experienced",A few times,Untrustworthy 1,"Yes, fully vaccinated","No, I've never used it",30-39,Male,"High school degree or equivalent (e.g., GED)"
124,1,3,Somewhat Inaccurate (2),No Engagement,18.722,19.204,Somewhat Inaccurate (2),No Engagement,11.847,12.7,More real than fake (4),5.285,7.23,Once a week,Slightly Liberal,"Yes, very experienced",More than once a week,Untrustworthy 1,"Yes, fully vaccinated","No, I've never used it",18-29,Female,Some college but no degree
124,2,2,Very Inaccurate (1),No Engagement,11.765,12.147,Somewhat Inaccurate (2),No Engagement,15.364,15.775,I'm not sure (3),5.052,5.645,Once a week,Slightly Liberal,"Yes, very experienced",More than once a week,Untrustworthy 1,"Yes, fully vaccinated","No, I've never used it",18-29,Female,Some college but no degree
124,3,1,Neither Accurate nor Inaccurate (3),No Engagement,11.518,16.725,Very Inaccurate (1),No Engagement,3.816,4.255,Definitely fake (1),7.584,8.227,Once a week,Slightly Liberal,"Yes, very experienced",More than once a week,Untrustworthy 1,"Yes, fully vaccinated","No, I've never used it",18-29,Female,Some college but no degree
125,1,3,Very Inaccurate (1),No Engagement,5.296,6.285,Very Inaccurate (1),No Engagement,2.033,3.054,Definitely fake (1),0,0.925,Once or twice a week,Very Liberal,"Yes, somewhat experienced",Once a week,3,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Male,Bachelor degree
125,2,2,Somewhat Inaccurate (2),No Engagement,2.96,4.061,Neither Accurate nor Inaccurate (3),No Engagement,2.272,2.964,More real than fake (4),0,0.523,Once or twice a week,Very Liberal,"Yes, somewhat experienced",Once a week,3,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Male,Bachelor degree
125,3,1,Somewhat Inaccurate (2),No Engagement,2.617,3.805,Very Inaccurate (1),Prefer not to say,5.032,6.318,More fake than real (2),0,0.659,Once or twice a week,Very Liberal,"Yes, somewhat experienced",Once a week,3,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Male,Bachelor degree
126,1,2,Very Accurate (5),No Engagement,7.916,8.848,Very Accurate (5),No Engagement,13.649,14.883,I'm not sure (3),0,0.701,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,9,"Yes, fully vaccinated","No, I've never used it",18-29,Non-binary / third gender,Some college but no degree
126,2,3,Very Inaccurate (1),No Engagement,1.784,2.721,Very Inaccurate (1),No Engagement,1.061,1.69,More real than fake (4),0,0.712,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,9,"Yes, fully vaccinated","No, I've never used it",18-29,Non-binary / third gender,Some college but no degree
126,3,1,Somewhat Accurate (4),No Engagement,5.356,6.61,Neither Accurate nor Inaccurate (3),No Engagement,5.23,5.917,More fake than real (2),0,2.638,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,9,"Yes, fully vaccinated","No, I've never used it",18-29,Non-binary / third gender,Some college but no degree
127,1,3,Very Inaccurate (1),No Engagement,1.293,2.93,Neither Accurate nor Inaccurate (3),No Engagement,1.322,3.136,More real than fake (4),5.991,7.302,Once a week,Very Liberal,"Yes, very experienced",A few times,Neutral 5,"Yes, fully vaccinated","No, I've never used it",18-29,Male,Associate degree
127,2,1,Very Inaccurate (1),No Engagement,4.975,7.267,Very Inaccurate (1),No Engagement,2.672,6.09,More real than fake (4),0,1.797,Once a week,Very Liberal,"Yes, very experienced",A few times,Neutral 5,"Yes, fully vaccinated","No, I've never used it",18-29,Male,Associate degree
127,3,2,Neither Accurate nor Inaccurate (3),No Engagement,1.801,3.238,Neither Accurate nor Inaccurate (3),No Engagement,1.139,2.568,More fake than real (2),0,3.331,Once a week,Very Liberal,"Yes, very experienced",A few times,Neutral 5,"Yes, fully vaccinated","No, I've never used it",18-29,Male,Associate degree
128,1,1,Neither Accurate nor Inaccurate (3),No Engagement,75.289,76.052,Somewhat Accurate (4),No Engagement,30.762,31.493,I'm not sure (3),43.16,43.925,I did not read or listen to news concerning COVID-19 in the past 12 months,Very Liberal,"Yes, very experienced",Once or twice a week,Neutral 5,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Female,Associate degree
128,2,2,Somewhat Accurate (4),No Engagement,24.811,25.447,Somewhat Accurate (4),No Engagement,17.167,18.621,More real than fake (4),2.769,4.016,I did not read or listen to news concerning COVID-19 in the past 12 months,Very Liberal,"Yes, very experienced",Once or twice a week,Neutral 5,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Female,Associate degree
128,3,3,Very Inaccurate (1),No Engagement,79.485,80.469,Very Inaccurate (1),No Engagement,6.74,7.39,I'm not sure (3),7.761,9.081,I did not read or listen to news concerning COVID-19 in the past 12 months,Very Liberal,"Yes, very experienced",Once or twice a week,Neutral 5,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Female,Associate degree
129,1,2,Somewhat Accurate (4),No Engagement,4.275,4.795,Somewhat Accurate (4),No Engagement,0,1.018,More real than fake (4),9.891,10.555,Once or twice a week,Very Liberal,"Yes, somewhat experienced",A few times,6,"Yes, fully vaccinated","Yes, very experienced",30-39,Female,Bachelor degree
129,2,3,Very Inaccurate (1),No Engagement,9.723,11.1,Very Inaccurate (1),No Engagement,11.336,11.585,I'm not sure (3),10.882,11.42,Once or twice a week,Very Liberal,"Yes, somewhat experienced",A few times,6,"Yes, fully vaccinated","Yes, very experienced",30-39,Female,Bachelor degree
129,3,1,Somewhat Inaccurate (2),No Engagement,6.135,6.473,Very Inaccurate (1),No Engagement,4.283,4.758,I'm not sure (3),4.042,4.419,Once or twice a week,Very Liberal,"Yes, somewhat experienced",A few times,6,"Yes, fully vaccinated","Yes, very experienced",30-39,Female,Bachelor degree
130,1,1,Somewhat Inaccurate (2),No Engagement,3.042,3.855,Somewhat Inaccurate (2),No Engagement,1.948,2.7,I'm not sure (3),0,0.472,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",Once a month,Neutral 5,"Yes, fully vaccinated","No, I've never used it",18-29,Male,"High school degree or equivalent (e.g., GED)"
130,2,3,Very Inaccurate (1),Reply,8.454,9.132,Very Inaccurate (1),Reply,2.464,4.018,More real than fake (4),0,0.776,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",Once a month,Neutral 5,"Yes, fully vaccinated","No, I've never used it",18-29,Male,"High school degree or equivalent (e.g., GED)"
130,3,2,Very Inaccurate (1),No Engagement,1.972,3.677,Very Inaccurate (1),No Engagement,1.485,2.308,Definitely fake (1),0.621,3.42,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",Once a month,Neutral 5,"Yes, fully vaccinated","No, I've never used it",18-29,Male,"High school degree or equivalent (e.g., GED)"
131,1,2,Very Accurate (5),No Engagement,2.31,3.721,Very Accurate (5),No Engagement,1.548,2.285,More fake than real (2),0,0.767,More than once a week,Very Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,4,"No, I am not vaccinated","Yes, somewhat experienced",30-39,Female,"High school degree or equivalent (e.g., GED)"
131,2,1,Very Accurate (5),External Share,3.552,7.559,Very Accurate (5),External Share,5.328,5.752,More real than fake (4),0.592,1.386,More than once a week,Very Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,4,"No, I am not vaccinated","Yes, somewhat experienced",30-39,Female,"High school degree or equivalent (e.g., GED)"
131,3,3,Very Accurate (5),No Engagement,3.515,4.714,Very Accurate (5),No Engagement,2.976,4.736,More fake than real (2),0,1.876,More than once a week,Very Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,4,"No, I am not vaccinated","Yes, somewhat experienced",30-39,Female,"High school degree or equivalent (e.g., GED)"
132,1,2,Somewhat Accurate (4),No Engagement,3.385,4.926,Very Accurate (5),No Engagement,7.912,8.774,More fake than real (2),0,1.206,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",Once a month,6,"Yes, fully vaccinated","Yes, but I just started using it",18-29,Female,Bachelor degree
