Accuracy,Engagement,HasProfile,TweetID,Condition,SubjectID,Political View,Trust Tweet,Photoshop,Timing,FPTiming
Very Accurate (5),Like,Yes,1,1,97,Very Conservative,Neutral   5,"Yes, somewhat experienced",16.678,2.939
Neither Accurate nor Inaccurate (3),No Engagement,Yes,3,1,98,Very Liberal,7,"No, I've never used it",15.532,15.956
Very Inaccurate (1),Reply,Yes,1,1,99,Very Liberal,Neutral   5,"No, I've never used it",15.366,0
Very Inaccurate (1),External Share,Yes,3,1,100,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",4.898,0
Somewhat Accurate (4),No Engagement,Yes,2,1,101,Slightly Conservative,Untrustworthy 1,"Yes, somewhat experienced",6.116,0
Somewhat Inaccurate (2),No Engagement,Yes,1,1,102,Slightly Liberal,Neutral   5,"No, I've never used it",4.683,0
Very Inaccurate (1),No Engagement,Yes,2,1,103,Slightly Liberal,3,"Yes, somewhat experienced",4.285,0.903
Very Inaccurate (1),No Engagement,Yes,1,1,104,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",4.255,0
Somewhat Accurate (4),No Engagement,Yes,3,1,105,Slightly Liberal,Untrustworthy 1,"Yes, somewhat experienced",14.079,11.523
Very Inaccurate (1),No Engagement,Yes,2,1,106,Very Liberal,7,"Yes, somewhat experienced",3.146,0
Somewhat Accurate (4),External Share,Yes,3,1,107,Slightly Liberal,7,"Yes, somewhat experienced",7.1,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,3,1,108,Slightly Conservative,6,"No, I've never used it",2.394,0.948
Very Accurate (5),No Engagement,Yes,3,1,109,Prefer not to say,3,"No, I've never used it",3.898,5.549
Somewhat Accurate (4),Like,Yes,2,1,110,Very Liberal,8,"Yes, very experienced",5.293,3.671
Somewhat Accurate (4),External Share,Yes,1,1,111,Slightly Conservative,6,"Yes, somewhat experienced",2.562,0.748
Very Inaccurate (1),No Engagement,Yes,3,1,112,Slightly Conservative,4,"Yes, somewhat experienced",1.177,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,1,1,113,Very Conservative,Untrustworthy 1,"Yes, somewhat experienced",10.874,3.392
Very Inaccurate (1),No Engagement,Yes,1,1,114,Slightly Liberal,7,"No, I've never used it",6.542,3.009
Somewhat Accurate (4),No Engagement,Yes,1,1,115,Very Liberal,Neutral   5,"Yes,  but I just started using it",1.92,0
Very Inaccurate (1),No Engagement,Yes,3,1,116,Slightly Liberal,Untrustworthy 1,"Yes, somewhat experienced",1.867,0.551
Somewhat Accurate (4),No Engagement,Yes,1,1,117,Very Liberal,Neutral   5,"Yes, somewhat experienced",12.489,4.851
Very Inaccurate (1),No Engagement,Yes,3,1,118,Slightly Liberal,3,"Yes, somewhat experienced",7.818,2.326
Somewhat Accurate (4),No Engagement,Yes,1,1,119,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",3.011,8.577
Somewhat Accurate (4),No Engagement,Yes,2,1,120,Very Liberal,8,"Yes,  but I just started using it",18.919,7.268
Somewhat Accurate (4),Prefer not to say,Yes,2,1,121,Prefer not to say,Neutral   5,"Yes, somewhat experienced",9.119,1.12
Very Accurate (5),Retweet,Yes,2,1,122,Slightly Liberal,7,"Yes, somewhat experienced",5.032,0.856
Very Inaccurate (1),No Engagement,Yes,2,1,123,Very Liberal,Untrustworthy 1,"No, I've never used it",5.916,0
Somewhat Inaccurate (2),No Engagement,Yes,3,1,124,Slightly Liberal,Untrustworthy 1,"No, I've never used it",11.847,5.285
Very Inaccurate (1),No Engagement,Yes,3,1,125,Very Liberal,3,"Yes, somewhat experienced",2.033,0
Very Accurate (5),No Engagement,Yes,2,1,126,Slightly Liberal,9,"No, I've never used it",13.649,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,3,1,127,Very Liberal,Neutral   5,"No, I've never used it",1.322,5.991
Somewhat Accurate (4),No Engagement,Yes,1,1,128,Very Liberal,Neutral   5,"Yes, somewhat experienced",30.762,43.16
Somewhat Accurate (4),No Engagement,Yes,2,1,129,Very Liberal,6,"Yes, very experienced",0,9.891
Somewhat Inaccurate (2),No Engagement,Yes,1,1,130,Slightly Liberal,Neutral   5,"No, I've never used it",1.948,0
Very Accurate (5),No Engagement,Yes,2,1,131,Very Conservative,4,"Yes, somewhat experienced",1.548,0
Very Accurate (5),No Engagement,Yes,2,1,132,Slightly Liberal,6,"Yes,  but I just started using it",7.912,0
Very Inaccurate (1),No Engagement,Yes,3,1,133,Slightly Liberal,6,"Yes, somewhat experienced",17.394,4.408
Somewhat Accurate (4),No Engagement,Yes,2,1,134,Slightly Liberal,Neutral   5,"No, I've never used it",32.731,5.609
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,135,Very Liberal,7,"No, I've never used it",3.132,1.679
Somewhat Accurate (4),Like,Yes,1,1,136,Slightly Liberal,Neutral   5,"Yes, very experienced",3.059,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,1,1,137,Slightly Liberal,3,"Yes, somewhat experienced",1.266,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,1,1,138,Slightly Conservative,4,"Yes, somewhat experienced",1.917,0
Very Inaccurate (1),No Engagement,Yes,2,1,139,Slightly Liberal,6,"No, I've never used it",27.801,4.204
Somewhat Inaccurate (2),No Engagement,Yes,3,1,140,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",5.084,3.363
Somewhat Accurate (4),External Share,Yes,1,1,141,Slightly Conservative,Neutral   5,"Yes, very experienced",33.882,8.442
Very Inaccurate (1),No Engagement,Yes,3,1,142,Slightly Conservative,Untrustworthy 1,"Yes, somewhat experienced",2.724,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,1,1,143,Very Liberal,Neutral   5,"Yes, somewhat experienced",9.971,3.067
Very Inaccurate (1),No Engagement,Yes,3,1,144,Slightly Liberal,Untrustworthy 1,"Yes, very experienced",11.332,9.777
Somewhat Accurate (4),Like,Yes,2,1,145,Very Liberal,3,"Yes, very experienced",20.672,7.461
Very Inaccurate (1),No Engagement,Yes,3,1,146,Very Liberal,Neutral   5,"Yes, somewhat experienced",1.799,0
Somewhat Accurate (4),No Engagement,Yes,2,1,147,Slightly Conservative,Neutral   5,"Yes,  but I just started using it",3.593,1.773
Somewhat Accurate (4),Like,Yes,3,1,148,Very Conservative,3,"Yes, somewhat experienced",3.088,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,3,1,149,Slightly Conservative,4,"No, I've never used it",1.456,0
Very Accurate (5),Retweet,Yes,1,1,150,Very Liberal,Neutral   5,"Yes, somewhat experienced",3.917,1.01
Somewhat Inaccurate (2),No Engagement,Yes,1,1,151,Prefer not to say,Neutral   5,"Yes, somewhat experienced",20.497,9.618
Very Inaccurate (1),No Engagement,Yes,1,1,152,Very Liberal,4,"Yes, very experienced",3.589,9.518
Somewhat Accurate (4),External Share,Yes,1,1,153,Slightly Conservative,Neutral   5,"Yes, very experienced",3.91,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,154,Very Liberal,Neutral   5,"No, I've never used it",37.706,2.546
Somewhat Inaccurate (2),No Engagement,Yes,1,1,155,Slightly Conservative,6,"No, I've never used it",31.412,16.773
Very Inaccurate (1),No Engagement,Yes,2,1,156,Slightly Conservative,4,"Yes,  but I just started using it",19.615,14.623
Very Inaccurate (1),No Engagement,Yes,3,1,157,Slightly Liberal,4,"Yes, somewhat experienced",3.138,0
Somewhat Inaccurate (2),No Engagement,Yes,1,1,158,Prefer not to say,4,"No, I've never used it",2.242,0
Somewhat Inaccurate (2),No Engagement,Yes,2,1,159,Very Liberal,7,"No, I've never used it",19.646,10.27
Somewhat Accurate (4),No Engagement,Yes,1,1,160,Very Liberal,2,"No, I've never used it",2.234,7.786
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,161,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",1.489,0
Somewhat Accurate (4),Like,Yes,1,1,162,Very Liberal,Untrustworthy 1,"No, I've never used it",4.72,2.274
Somewhat Inaccurate (2),No Engagement,Yes,3,1,163,Prefer not to say,Neutral   5,"Yes, somewhat experienced",10.892,0
Somewhat Accurate (4),No Engagement,Yes,1,1,164,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",12.268,12.028
Very Inaccurate (1),No Engagement,Yes,2,1,165,Very Liberal,7,"Yes, somewhat experienced",2.851,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,1,1,166,Slightly Liberal,Neutral   5,"No, I've never used it",12.387,7.93
Somewhat Inaccurate (2),No Engagement,Yes,3,1,167,Slightly Liberal,Neutral   5,"No, I've never used it",14.599,0
Somewhat Inaccurate (2),No Engagement,Yes,1,1,168,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",3.77,3.679
Somewhat Inaccurate (2),No Engagement,Yes,1,1,169,Very Liberal,Neutral   5,"No, I've never used it",1.739,0
Somewhat Accurate (4),No Engagement,Yes,2,1,170,Very Liberal,6,"No, I've never used it",9.582,11.408
Somewhat Inaccurate (2),No Engagement,Yes,2,1,171,Slightly Conservative,Neutral   5,"Yes, very experienced",26.712,3.744
Somewhat Accurate (4),Like,Yes,3,1,172,Very Liberal,6,"Yes,  but I just started using it",2.248,5.897
Very Inaccurate (1),No Engagement,Yes,1,1,173,Very Liberal,4,"No, I've never used it",7.808,4.95
Very Inaccurate (1),No Engagement,Yes,3,1,174,Slightly Liberal,9,"No, I've never used it",29.873,12.011
Very Inaccurate (1),No Engagement,Yes,2,1,175,Slightly Liberal,4,"Yes, somewhat experienced",2.301,0
Somewhat Accurate (4),No Engagement,Yes,1,1,176,Slightly Liberal,6,"Yes, somewhat experienced",2.882,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,177,Slightly Conservative,Neutral   5,"No, I've never used it",2.501,0
Very Accurate (5),Like,Yes,2,1,178,Very Liberal,7,"No, I've never used it",3.043,0
Somewhat Accurate (4),No Engagement,Yes,1,1,179,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",6.209,0
Very Inaccurate (1),No Engagement,Yes,3,1,180,Very Liberal,Neutral   5,"No, I've never used it",1.522,0.651
Somewhat Accurate (4),External Share,Yes,2,1,181,Slightly Liberal,Trustworthy 10,"Yes, somewhat experienced",6.12,0
Somewhat Accurate (4),No Engagement,Yes,3,1,182,Very Liberal,6,"Yes,  but I just started using it",8.734,7.682
Somewhat Inaccurate (2),No Engagement,Yes,1,1,183,Very Liberal,4,"Yes, somewhat experienced",4.422,14.31
Neither Accurate nor Inaccurate (3),External Share,Yes,2,1,184,Slightly Liberal,4,"Yes, somewhat experienced",9.591,0
Somewhat Inaccurate (2),No Engagement,Yes,3,1,185,Slightly Conservative,Untrustworthy 1,"Yes,  but I just started using it",17.1,12.448
Somewhat Accurate (4),No Engagement,Yes,1,1,186,Very Liberal,7,"No, I've never used it",16.526,0
Very Inaccurate (1),External Share,Yes,3,1,187,Very Liberal,3,"Yes, somewhat experienced",4.219,0
Very Inaccurate (1),No Engagement,Yes,3,1,188,Very Liberal,7,"Yes, somewhat experienced",2.645,8.666
Somewhat Inaccurate (2),No Engagement,Yes,1,1,189,Slightly Liberal,7,"No, I've never used it",17.008,0
Somewhat Inaccurate (2),Reply,Yes,3,1,190,Slightly Liberal,7,"Yes,  but I just started using it",54.843,21.259
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,191,Slightly Conservative,Neutral   5,"No, I've never used it",3.335,2.283
Neither Accurate nor Inaccurate (3),Like,Yes,2,1,192,Slightly Liberal,2,"Yes, very experienced",2.673,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,193,Slightly Liberal,4,"Yes, somewhat experienced",3.99,0.749
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,194,Slightly Liberal,2,"No, I've never used it",18.092,5.792
Somewhat Accurate (4),External Share,Yes,2,1,195,Slightly Conservative,7,"No, I've never used it",1.895,0
Somewhat Accurate (4),No Engagement,Yes,3,1,196,Slightly Conservative,Neutral   5,"No, I've never used it",1.978,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,3,1,197,Very Liberal,Neutral   5,"Yes,  but I just started using it",3.324,0
Very Inaccurate (1),Reply,Yes,3,1,198,Slightly Liberal,7,"Yes, somewhat experienced",14.843,5.782
Somewhat Accurate (4),Like,Yes,3,1,199,Slightly Liberal,4,"Yes, somewhat experienced",2.72,0
Somewhat Accurate (4),No Engagement,Yes,2,1,200,Very Liberal,3,"No, I've never used it",3.973,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,201,Slightly Conservative,7,"Yes,  but I just started using it",12.18,3.928
Somewhat Inaccurate (2),No Engagement,Yes,2,1,202,Slightly Liberal,7,"No, I've never used it",5.384,1.096
Very Inaccurate (1),No Engagement,Yes,3,1,203,Slightly Liberal,Neutral   5,"No, I've never used it",1.701,0
Very Inaccurate (1),No Engagement,Yes,3,1,204,Slightly Conservative,4,"No, I've never used it",3.713,3.821
Somewhat Accurate (4),No Engagement,Yes,2,1,205,Very Liberal,4,"Yes, somewhat experienced",5.34,0
Very Inaccurate (1),No Engagement,Yes,2,1,206,Very Liberal,3,"Yes,  but I just started using it",2.121,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,207,Very Liberal,Neutral   5,"Yes, somewhat experienced",14.483,26.199
Somewhat Accurate (4),No Engagement,Yes,1,1,208,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",23.503,10.163
Somewhat Accurate (4),No Engagement,Yes,1,1,209,Slightly Conservative,Neutral   5,"No, I've never used it",3.921,1.555
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,210,Slightly Conservative,Neutral   5,"Yes, somewhat experienced",23.248,5.196
Very Inaccurate (1),No Engagement,Yes,3,1,211,Very Liberal,Neutral   5,"No, I've never used it",4.01,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,212,Very Liberal,6,"Yes, somewhat experienced",2.045,4.245
Neither Accurate nor Inaccurate (3),No Engagement,Yes,3,1,213,Slightly Conservative,6,"Yes, somewhat experienced",2.768,0
Somewhat Inaccurate (2),External Share,Yes,1,1,214,Slightly Liberal,3,"No, I've never used it",5.662,0
Very Inaccurate (1),No Engagement,Yes,3,1,215,Very Liberal,6,"Yes, somewhat experienced",4.64,0.63
Somewhat Inaccurate (2),No Engagement,Yes,1,1,216,Very Liberal,Neutral   5,"No, I've never used it",27.898,10.541
Very Inaccurate (1),No Engagement,Yes,3,1,217,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",2.388,0
Somewhat Inaccurate (2),No Engagement,Yes,1,1,218,Very Liberal,4,"Yes, somewhat experienced",2.86,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,1,1,219,Very Conservative,6,"Yes, somewhat experienced",104.108,1.072
Neither Accurate nor Inaccurate (3),No Engagement,Yes,3,1,220,Slightly Conservative,Neutral   5,"Yes, somewhat experienced",23.243,15.348
Somewhat Accurate (4),Like,Yes,3,1,221,Very Conservative,Neutral   5,"Yes, somewhat experienced",3.917,0
Somewhat Accurate (4),No Engagement,Yes,3,1,222,Slightly Liberal,6,"No, I've never used it",8.651,0
Somewhat Inaccurate (2),No Engagement,Yes,2,1,223,Slightly Conservative,6,"No, I've never used it",20.578,7.157
Very Inaccurate (1),Reply,Yes,3,1,224,Very Liberal,Neutral   5,"Yes,  but I just started using it",63.177,1.461
Somewhat Accurate (4),Like,Yes,1,1,225,Slightly Liberal,6,"No, I've never used it",6.218,0
Somewhat Accurate (4),No Engagement,Yes,2,1,226,Very Liberal,Neutral   5,"Yes, somewhat experienced",7.924,15.935
Somewhat Accurate (4),No Engagement,Yes,2,1,227,Slightly Liberal,Neutral   5,"Yes, very experienced",4.608,0
Very Inaccurate (1),No Engagement,Yes,3,1,228,Very Liberal,Neutral   5,"No, I've never used it",6.004,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,1,1,229,Prefer not to say,Neutral   5,"No, I've never used it",2.411,3.138
Neither Accurate nor Inaccurate (3),No Engagement,Yes,1,1,230,Very Liberal,2,"No, I've never used it",4.599,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,231,Prefer not to say,2,"Yes, very experienced",16.634,16.078
Very Inaccurate (1),No Engagement,Yes,3,1,232,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",1.762,0
Somewhat Inaccurate (2),No Engagement,Yes,3,1,233,Slightly Liberal,Neutral   5,"No, I've never used it",2.959,0.402
Neither Accurate nor Inaccurate (3),No Engagement,Yes,3,1,234,Very Conservative,Neutral   5,"Yes, somewhat experienced",2.07,0
Very Inaccurate (1),No Engagement,Yes,1,1,235,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",4.317,0
Neither Accurate nor Inaccurate (3),Prefer not to say,Yes,1,1,236,Prefer not to say,Neutral   5,Prefer not to say,3.541,1.886
Somewhat Accurate (4),No Engagement,Yes,3,1,237,Very Liberal,4,"No, I've never used it",0.717,0
Very Inaccurate (1),No Engagement,Yes,2,1,238,Slightly Conservative,6,"No, I've never used it",1.531,0
Very Accurate (5),Like,Yes,3,1,239,Very Conservative,3,"Yes, somewhat experienced",14.83,5.21
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,240,Very Liberal,6,"Yes, somewhat experienced",5.548,0
Somewhat Accurate (4),No Engagement,Yes,2,1,241,Very Liberal,6,"No, I've never used it",3.286,1.668
Very Inaccurate (1),No Engagement,Yes,1,1,242,Slightly Liberal,6,"Yes,  but I just started using it",9.297,12.283
Somewhat Inaccurate (2),No Engagement,Yes,1,1,243,Very Liberal,6,"No, I've never used it",5.452,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,1,1,244,Slightly Conservative,4,"Yes,  but I just started using it",6.811,3.714
Very Inaccurate (1),No Engagement,Yes,3,1,245,Very Liberal,Neutral   5,"Yes,  but I just started using it",11.753,10.627
Somewhat Accurate (4),No Engagement,Yes,1,1,246,Very Liberal,6,"No, I've never used it",1.35,0
Somewhat Accurate (4),No Engagement,Yes,1,1,247,Slightly Liberal,6,"No, I've never used it",2.816,2.175
Somewhat Accurate (4),No Engagement,Yes,3,1,248,Very Liberal,7,"Yes, somewhat experienced",6.484,22.536
Very Accurate (5),Retweet,Yes,2,1,249,Very Conservative,7,"Yes, somewhat experienced",6.754,1.463
Very Inaccurate (1),No Engagement,Yes,3,1,250,Prefer not to say,Neutral   5,"No, I've never used it",6.281,0.923
Very Inaccurate (1),No Engagement,Yes,1,1,251,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",3.536,1.91
Very Inaccurate (1),No Engagement,Yes,3,1,252,Slightly Conservative,2,"No, I've never used it",6.114,1.946
Somewhat Inaccurate (2),No Engagement,Yes,1,1,253,Very Liberal,8,"No, I've never used it",17.345,4.306
Very Inaccurate (1),No Engagement,Yes,1,1,254,Very Liberal,4,"Yes, somewhat experienced",36.868,9.824
Very Inaccurate (1),No Engagement,Yes,1,1,255,Slightly Conservative,6,"Yes,  but I just started using it",34.946,19.34
Very Inaccurate (1),No Engagement,Yes,2,1,256,Slightly Conservative,3,"No, I've never used it",2.998,0
Somewhat Accurate (4),Like,Yes,1,1,257,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",4.785,0
Somewhat Accurate (4),No Engagement,Yes,3,1,258,Very Conservative,Neutral   5,"No, I've never used it",3.044,0
Somewhat Inaccurate (2),No Engagement,Yes,1,1,259,Very Liberal,3,"Yes, somewhat experienced",4.711,3.261
Somewhat Accurate (4),Like,Yes,2,1,260,Very Liberal,Neutral   5,"Yes, somewhat experienced",10.083,6.82
Somewhat Inaccurate (2),No Engagement,Yes,3,1,261,Very Liberal,4,"No, I've never used it",6.118,2.837
Somewhat Inaccurate (2),No Engagement,Yes,3,1,262,Slightly Liberal,Neutral   5,"No, I've never used it",11.248,4.345
Somewhat Accurate (4),Like,Yes,3,1,263,Very Conservative,Neutral   5,"No, I've never used it",4.129,1.527
Very Accurate (5),No Engagement,Yes,1,1,264,Very Conservative,2,"Yes, somewhat experienced",2.479,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,265,Very Liberal,4,"No, I've never used it",15.034,19.989
Somewhat Inaccurate (2),No Engagement,Yes,3,1,266,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",1.419,0
Somewhat Inaccurate (2),No Engagement,Yes,1,1,267,Slightly Liberal,4,"Yes,  but I just started using it",4.642,0
Very Accurate (5),No Engagement,Yes,2,1,268,Very Liberal,7,"Yes,  but I just started using it",4.033,3.669
Somewhat Accurate (4),No Engagement,Yes,2,1,269,Prefer not to say,Neutral   5,"Yes, somewhat experienced",1.191,0
Very Inaccurate (1),No Engagement,Yes,3,1,270,Very Liberal,4,"No, I've never used it",8.894,3.86
Very Inaccurate (1),No Engagement,Yes,3,1,271,Very Liberal,7,Prefer not to say,93.922,14.247
Somewhat Inaccurate (2),No Engagement,Yes,2,1,272,Very Liberal,8,"No, I've never used it",4.025,0
Somewhat Accurate (4),No Engagement,Yes,1,1,273,Slightly Conservative,Neutral   5,"Yes, very experienced",6.593,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,1,1,274,Very Liberal,Neutral   5,"No, I've never used it",10.683,0
Very Inaccurate (1),No Engagement,Yes,2,1,275,Slightly Conservative,6,"Yes, somewhat experienced",22.684,4.546
Somewhat Accurate (4),No Engagement,Yes,1,1,276,Very Liberal,Neutral   5,"Yes, very experienced",2.818,0
Somewhat Accurate (4),Like,Yes,1,1,277,Very Liberal,4,"No, I've never used it",2.652,0
Somewhat Accurate (4),No Engagement,Yes,2,1,278,Slightly Liberal,6,"No, I've never used it",3.341,0
Somewhat Inaccurate (2),No Engagement,Yes,2,1,279,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",10.675,5.053
Neither Accurate nor Inaccurate (3),No Engagement,Yes,1,1,280,Very Liberal,Neutral   5,"No, I've never used it",9.901,3.699
Very Inaccurate (1),No Engagement,Yes,3,1,281,Very Liberal,8,"No, I've never used it",4.708,8.639
Very Inaccurate (1),No Engagement,Yes,1,1,282,Very Liberal,Neutral   5,"Yes, somewhat experienced",13.469,20.252
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,283,Slightly Liberal,2,"Yes, very experienced",7.604,10.591
Neither Accurate nor Inaccurate (3),No Engagement,Yes,3,1,284,Very Liberal,3,"Yes, somewhat experienced",4.378,2.561
Very Inaccurate (1),No Engagement,Yes,3,1,285,Slightly Liberal,8,"No, I've never used it",69.653,8.552
Very Inaccurate (1),No Engagement,Yes,2,1,286,Slightly Conservative,7,"Yes, somewhat experienced",1.023,3.985
Very Inaccurate (1),No Engagement,Yes,1,1,287,Very Liberal,Neutral   5,"Yes, very experienced",3.33,0
Somewhat Inaccurate (2),No Engagement,Yes,3,1,288,Slightly Liberal,7,"Yes, somewhat experienced",1.851,0
Neither Accurate nor Inaccurate (3),External Share,Yes,2,1,289,Slightly Liberal,Neutral   5,"No, I've never used it",4.788,10.937
Somewhat Inaccurate (2),No Engagement,Yes,2,1,290,Slightly Liberal,Neutral   5,"Yes, very experienced",8.678,4.072
Neither Accurate nor Inaccurate (3),Reply,Yes,1,1,291,Slightly Conservative,6,"No, I've never used it",4.272,0
Very Inaccurate (1),No Engagement,Yes,1,1,292,Slightly Liberal,7,"Yes, somewhat experienced",3.544,0
Very Inaccurate (1),Retweet,Yes,3,1,293,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",1.881,0
Very Inaccurate (1),External Share,Yes,2,1,294,Slightly Conservative,4,"Yes, very experienced",8.791,14.307
Very Inaccurate (1),No Engagement,Yes,2,1,295,Slightly Conservative,7,"Yes, somewhat experienced",2.435,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,1,1,296,Very Liberal,Neutral   5,"Yes, somewhat experienced",25.883,0
Neither Accurate nor Inaccurate (3),Reply,Yes,3,1,297,Very Conservative,6,"Yes,  but I just started using it",5.426,12.24
Somewhat Accurate (4),No Engagement,Yes,1,1,298,Slightly Liberal,Neutral   5,"No, I've never used it",14.47,1.694
Neither Accurate nor Inaccurate (3),Prefer not to say,Yes,3,1,299,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",93.74,9.3
Somewhat Inaccurate (2),No Engagement,Yes,2,1,300,Slightly Liberal,4,"No, I've never used it",4.152,0
Somewhat Inaccurate (2),No Engagement,Yes,1,1,301,Very Liberal,8,"Yes, somewhat experienced",8.808,0.776
Very Inaccurate (1),No Engagement,Yes,1,1,302,Slightly Liberal,7,"Yes, somewhat experienced",1.664,0
Somewhat Accurate (4),No Engagement,Yes,3,1,303,Slightly Conservative,Neutral   5,"No, I've never used it",1.68,0
Somewhat Inaccurate (2),Prefer not to say,Yes,1,1,304,Slightly Liberal,Neutral   5,"No, I've never used it",5.899,6.193
Very Inaccurate (1),No Engagement,Yes,3,1,305,Slightly Conservative,3,"Yes,  but I just started using it",7.994,3.161
Neither Accurate nor Inaccurate (3),No Engagement,Yes,1,1,306,Slightly Liberal,4,"Yes,  but I just started using it",5.375,10.333
Neither Accurate nor Inaccurate (3),No Engagement,Yes,1,1,307,Slightly Liberal,4,"No, I've never used it",5.794,0
Somewhat Accurate (4),No Engagement,Yes,1,1,308,Very Conservative,Neutral   5,"No, I've never used it",3.327,0
Somewhat Inaccurate (2),No Engagement,Yes,2,1,309,Slightly Liberal,4,"No, I've never used it",2.67,0.62
Very Accurate (5),Like,Yes,2,1,310,Slightly Liberal,6,"No, I've never used it",13.206,0
Somewhat Accurate (4),Like,Yes,2,1,311,Slightly Conservative,8,"No, I've never used it",25.481,18.277
Neither Accurate nor Inaccurate (3),Reply,Yes,1,1,312,Slightly Conservative,4,"Yes, somewhat experienced",67.571,39.281
Very Inaccurate (1),Prefer not to say,Yes,3,1,313,Slightly Liberal,4,"No, I've never used it",1.752,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,314,Slightly Conservative,Neutral   5,"Yes, somewhat experienced",10.916,13.539
Very Accurate (5),Like,Yes,2,1,315,Very Liberal,7,"No, I've never used it",1.136,0
Very Accurate (5),No Engagement,Yes,1,1,316,Slightly Liberal,Neutral   5,Prefer not to say,2.908,0
Somewhat Accurate (4),No Engagement,Yes,1,1,317,Slightly Conservative,Neutral   5,"No, I've never used it",4.353,0
Very Inaccurate (1),No Engagement,Yes,3,1,318,Very Liberal,3,"No, I've never used it",1.688,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,3,1,319,Prefer not to say,3,"Yes, very experienced",2.848,2.298
Very Inaccurate (1),No Engagement,Yes,3,1,320,Very Liberal,7,"Yes, somewhat experienced",2.649,0.352
Very Inaccurate (1),No Engagement,Yes,2,1,321,Very Liberal,4,"Yes, very experienced",2.135,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,322,Slightly Liberal,Neutral   5,"No, I've never used it",103.064,50.463
Neither Accurate nor Inaccurate (3),No Engagement,Yes,3,1,323,Slightly Conservative,Neutral   5,"No, I've never used it",3.856,0
Neither Accurate nor Inaccurate (3),No Engagement,Yes,2,1,324,Slightly Conservative,3,"No, I've never used it",4.141,0
Very Inaccurate (1),No Engagement,Yes,1,1,325,Slightly Conservative,7,"Yes,  but I just started using it",2.762,0
Very Inaccurate (1),No Engagement,Yes,3,1,326,Very Liberal,Neutral   5,"Yes, somewhat experienced",3.354,0
Somewhat Accurate (4),External Share,Yes,1,1,327,Slightly Liberal,Neutral   5,"No, I've never used it",8.763,2.826
Very Inaccurate (1),No Engagement,Yes,2,1,328,Prefer not to say,Untrustworthy 1,"Yes, somewhat experienced",1.155,0
Somewhat Inaccurate (2),No Engagement,Yes,2,1,329,Slightly Conservative,Neutral   5,"Yes, somewhat experienced",1.463,0.725
Somewhat Accurate (4),Like,Yes,2,1,330,Very Liberal,Neutral   5,"Yes, very experienced",1.507,0
